#Station Long Name,Lake Victoria at Lake Centre
#Station Number,A4261093
#Station Location Latitude,-33.9837
#Station Location Longitude,141.2764
#Parameter Type Name,Storage Volume
#Timeseries Name,DMQaQc.Merged.DailyMean.24HR
#Unit Name,megalitre
#DATA_OWNER_NAME,SA - South Australian Water Corporation (SA Water)
#Rows,4973
#Timestamp,Value,Quality Code,Interpolation Type
2007-05-16T00:00:00.000+09:30,,-1,603
2007-05-17T00:00:00.000+09:30,229563.647,10,603
2007-05-18T00:00:00.000+09:30,230651.359,10,603
2007-05-19T00:00:00.000+09:30,231399.268,10,603
2007-05-20T00:00:00.000+09:30,231659.543,10,603
2007-05-21T00:00:00.000+09:30,232065.095,10,603
2007-05-22T00:00:00.000+09:30,232504.897,10,603
2007-05-23T00:00:00.000+09:30,233017.936,10,603
2007-05-24T00:00:00.000+09:30,233598.942,10,603
2007-05-25T00:00:00.000+09:30,234290.424,10,603
2007-05-26T00:00:00.000+09:30,234787.611,10,603
2007-05-27T00:00:00.000+09:30,235059.168,10,603
2007-05-28T00:00:00.000+09:30,235379.415,10,603
2007-05-29T00:00:00.000+09:30,236570.101,10,603
2007-05-30T00:00:00.000+09:30,236637.249,10,603
2007-05-31T00:00:00.000+09:30,236622.776,10,603
2007-06-01T00:00:00.000+09:30,237343.518,10,603
2007-06-02T00:00:00.000+09:30,238377.650,10,603
2007-06-03T00:00:00.000+09:30,239422.631,10,603
2007-06-04T00:00:00.000+09:30,240300.668,10,603
2007-06-05T00:00:00.000+09:30,240852.548,10,603
2007-06-06T00:00:00.000+09:30,241371.777,10,603
2007-06-07T00:00:00.000+09:30,241811.753,10,603
2007-06-08T00:00:00.000+09:30,242304.880,10,603
2007-06-09T00:00:00.000+09:30,242815.229,10,603
2007-06-10T00:00:00.000+09:30,243387.208,10,603
2007-06-11T00:00:00.000+09:30,243900.418,10,603
2007-06-12T00:00:00.000+09:30,244372.904,10,603
2007-06-13T00:00:00.000+09:30,244748.685,10,603
2007-06-14T00:00:00.000+09:30,245098.288,10,603
2007-06-15T00:00:00.000+09:30,245579.251,10,603
2007-06-16T00:00:00.000+09:30,246158.714,10,603
2007-06-17T00:00:00.000+09:30,246692.512,10,603
2007-06-18T00:00:00.000+09:30,247312.866,10,603
2007-06-19T00:00:00.000+09:30,248096.872,10,603
2007-06-20T00:00:00.000+09:30,249024.163,10,603
2007-06-21T00:00:00.000+09:30,250665.650,10,603
2007-06-22T00:00:00.000+09:30,252629.718,10,603
2007-06-23T00:00:00.000+09:30,255165.786,10,603
2007-06-24T00:00:00.000+09:30,258256.266,10,603
2007-06-25T00:00:00.000+09:30,261660.827,10,603
2007-06-26T00:00:00.000+09:30,265373.309,10,603
2007-06-27T00:00:00.000+09:30,268968.072,10,603
2007-06-28T00:00:00.000+09:30,272093.135,10,603
2007-06-29T00:00:00.000+09:30,274363.415,10,603
2007-06-30T00:00:00.000+09:30,276809.472,10,603
2007-07-01T00:00:00.000+09:30,279237.524,10,603
2007-07-02T00:00:00.000+09:30,281248.267,10,603
2007-07-03T00:00:00.000+09:30,283312.263,10,603
2007-07-04T00:00:00.000+09:30,285484.448,10,603
2007-07-05T00:00:00.000+09:30,287264.752,10,603
2007-07-06T00:00:00.000+09:30,288286.231,10,603
2007-07-07T00:00:00.000+09:30,289992.931,10,603
2007-07-08T00:00:00.000+09:30,290810.811,10,603
2007-07-09T00:00:00.000+09:30,291629.636,10,603
2007-07-10T00:00:00.000+09:30,292780.571,10,603
2007-07-11T00:00:00.000+09:30,294160.784,10,603
2007-07-12T00:00:00.000+09:30,295603.030,10,603
2007-07-13T00:00:00.000+09:30,297238.615,10,603
2007-07-14T00:00:00.000+09:30,299215.686,10,603
2007-07-15T00:00:00.000+09:30,301323.186,10,603
2007-07-16T00:00:00.000+09:30,303423.405,10,603
2007-07-17T00:00:00.000+09:30,305441.910,10,603
2007-07-18T00:00:00.000+09:30,307730.386,10,603
2007-07-19T00:00:00.000+09:30,310517.719,10,603
